WP, 25, 2020110906,   , BEST,   0, 120N, 1309E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  45,   0,   0,   W,   0,   X, 315,  13,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111206,   , BEST,   0, 152N, 1185E,  75,  977, XX,  34, NEQ,  210,  115,   95,  290, 1006,  200,  15,   0,   0,   W,   0,   X, 275,  14,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111212,   , BEST,   0, 152N, 1174E,  75,  979, XX,  34, NEQ,  210,  110,   95,  270, 1008,  200,  15,   0,   0,   W,   0,   X, 270,  13,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111218,   , BEST,   0, 152N, 1163E,  70,  982, XX,  34, NEQ,   80,   70,   60,  230, 1006,  180,  30,   0,   0,   W,   0,   X, 270,  11,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111300,   , BEST,   0, 154N, 1155E,  75,  977, XX,  34, NEQ,  210,  115,  120,  190, 1007,  180,  30,   0,   0,   W,   0,   X, 275,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111306,   , BEST,   0, 154N, 1144E,  75,  978, XX,  34, NEQ,  175,   90,  110,  175, 1007,  195,   5,   0,   0,   W,   0,   X, 275,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111312,   , BEST,   0, 155N, 1134E, 100,  961, XX,  34, NEQ,  120,   90,   90,  120, 1008,  195,  15,   0,   0,   W,   0,   X, 275,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111318,   , BEST,   0, 156N, 1124E, 115,  945, XX,  34, NEQ,  180,  115,  125,  165, 1007,  175,  15,   0,   0,   W,   0,   X, 275,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111400,   , BEST,   0, 158N, 1113E, 115,  948, XX,  34, NEQ,  170,   95,  125,  165, 1009,  155,  12,   0,   0,   W,   0,   X, 280,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111406,   , BEST,   0, 160N, 1102E, 105,  958, XX,  34, NEQ,  130,   65,   80,  110, 1008,  160,  12,   0,   0,   W,   0,   X, 280,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111412,   , BEST,   0, 164N, 1094E,  95,  963, XX,  34, NEQ,  145,   90,  100,  155, 1008,  150,  12,   0,   0,   W,   0,   X, 285,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111418,   , BEST,   0, 167N, 1085E,  80,  978, XX,  34, NEQ,  140,   85,   95,  150, 1010,  145,  12,   0,   0,   W,   0,   X, 290,   9,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111500,   , BEST,   0, 171N, 1079E,  80,  979, XX,  34, NEQ,  110,   70,   55,  115, 1010,  145,  12,   0,   0,   W,   0,   X, 300,   8,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111506,   , BEST,   0, 177N, 1065E,  70,  985, XX,  34, NEQ,  105,   65,   45,   70, 1008,  150,  12,   0,   0,   W,   0,   X, 295,  10,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
WP, 25, 2020111518,   , BEST,   0, 182N, 1041E,  35, 1005, XX,  34, NEQ,   65,    0,   20,   50, 1008,  125,  20,   0,   0,   W,   0,   X, 285,  13,      VAMCO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252020, JTWC, NCEP_TCVITALS, 
