WP, 23, 2020102912,   , BEST,   0, 082N, 1484E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  40,   0,   0,   W,   0,   X, 335,   9,  TWENTY-TH, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110106,   , BEST,   0, 162N, 1328E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  130,  40,   0,   0,   W,   0,   X, 290,  16,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110112,   , BEST,   0, 169N, 1315E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  40,   0,   0,   W,   0,   X, 295,  16,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110118,   , BEST,   0, 166N, 1298E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  130,  40,   0,   0,   W,   0,   X, 280,  15,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110200,   , BEST,   0, 181N, 1277E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  130,  40,   0,   0,   W,   0,   X, 290,  17,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110206,   , BEST,   0, 198N, 1279E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,   X, 310,  15,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110212,   , BEST,   0, 203N, 1275E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  35,   0,   0,   W,   0,   X, 315,  10,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110218,   , BEST,   0, 199N, 1271E,  35, 1004, XX,  34, NEQ,    0,   35,   25,   10, 1008,  165,  35,   0,   0,   W,   0,   X, 300,   5,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110300,   , BEST,   0, 199N, 1276E,  35, 1004, XX,  34, NEQ,   20,   45,   55,   55, 1009,  155,  35,   0,   0,   W,   0,   X, 335,   1,     ATSANI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110306,   , BEST,   0, 199N, 1281E,  35, 1003, XX,  34, NEQ,    0,   50,   70,  100, 1009,  155,  35,   0,   0,   W,   0,   X,  90,   4,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110312,   , BEST,   0, 198N, 1286E,  35, 1005, XX,  34, NEQ,   55,   65,   70,   90, 1010,  180,  35,   0,   0,   W,   0,   X,  95,   5,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110318,   , BEST,   0, 201N, 1290E,  35, 1003, XX,  34, NEQ,   55,   45,   70,   90, 1008,  180,  35,   0,   0,   W,   0,   X,  95,   4,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110400,   , BEST,   0, 201N, 1297E,  35, 1003, XX,  34, NEQ,   55,   45,   70,   90, 1008,  180,  35,   0,   0,   W,   0,   X,  80,   5,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110406,   , BEST,   0, 203N, 1291E,  45,  993, XX,  34, NEQ,  180,   65,  110,  195, 1007,  180,  45,   0,   0,   W,   0,   X,  50,   2,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110412,   , BEST,   0, 202N, 1288E,  50,  993, XX,  34, NEQ,  145,   45,   75,  150, 1009,  170,  15,   0,   0,   W,   0,   X, 300,   1,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110418,   , BEST,   0, 200N, 1282E,  50,  993, XX,  34, NEQ,  165,   70,   95,  175, 1009,  180,  20,   0,   0,   W,   0,   X, 265,   3,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110500,   , BEST,   0, 202N, 1269E,  50,  997, XX,  34, NEQ,  155,   60,   85,  165, 1011,  170,  20,   0,   0,   W,   0,   X, 270,   7,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110506,   , BEST,   0, 202N, 1255E,  55,  995, XX,  34, NEQ,   85,   80,   45,  130, 1010,  165,  20,   0,   0,   W,   0,   X, 265,   9,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110512,   , BEST,   0, 207N, 1241E,  55,  997, XX,  34, NEQ,   95,   65,   70,   95, 1012,  160,  20,   0,   0,   W,   0,   X, 275,  11,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110518,   , BEST,   0, 207N, 1230E,  50, 1000, XX,  34, NEQ,   95,   55,   60,   85, 1012,  170,  25,   0,   0,   W,   0,   X, 280,  11,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110600,   , BEST,   0, 207N, 1218E,  45, 1004, XX,  34, NEQ,   80,   55,   60,   90, 1013,  155,  25,   0,   0,   W,   0,   X, 275,  11,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110606,   , BEST,   0, 214N, 1211E,  45, 1003, XX,  34, NEQ,   70,   60,   55,   90, 1012,  155,  25,   0,   0,   W,   0,   X, 285,  10,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110612,   , BEST,   0, 219N, 1203E,  45, 1004, XX,  34, NEQ,   60,   50,   40,   85, 1013,  145,  25,   0,   0,   W,   0,   X, 295,   9,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110618,   , BEST,   0, 223N, 1198E,  50, 1001, XX,  34, NEQ,   60,   50,   40,   85, 1013,  145,  20,   0,   0,   W,   0,   X, 305,   8,     ATSANI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110700,   , BEST,   0, 226N, 1194E,  50,  999, XX,  34, NEQ,  100,   30,   35,  125, 1013,  145,  20,   0,   0,   W,   0,   X, 310,   6,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110706,   , BEST,   0, 227N, 1192E,  40, 1006, XX,  34, NEQ,   95,   50,   50,   50, 1014,  145,  20,   0,   0,   W,   0,   X, 310,   4,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
WP, 23, 2020110712,   , BEST,   0, 226N, 1186E,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1015,  145,  30,   0,   0,   W,   0,   X, 285,   4,     ATSANI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP232020, JTWC, NCEP_TCVITALS, 
