SH, 19, 2021020506,   , BEST,   0, 126S, 0814E,  35, 1003, XX,  34, NEQ,   50,   20,   80,   65, 1008,  165,  30,   0,   0,   S,   0,   X, 175,   5,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020800,   , BEST,   0, 143S, 0809E, 110,  948, XX,  34, NEQ,   80,   95,   75,  110, 1005,  205,  25,   0,   0,   S,   0,   X,  60,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020806,   , BEST,   0, 142S, 0815E, 120,  938, XX,  34, NEQ,  110,  140,  100,  100, 1005,  210,  15,   0,   0,   S,   0,   X,  70,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020812,   , BEST,   0, 142S, 0820E, 125,  933, XX,  34, NEQ,  110,  140,  100,   95, 1005,  210,  15,   0,   0,   S,   0,   X,  75,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020818,   , BEST,   0, 142S, 0825E, 140,  920, XX,  34, NEQ,   75,  125,  105,   65, 1007,  210,  15,   0,   0,   S,   0,   X,  85,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020900,   , BEST,   0, 141S, 0831E, 135,  923, XX,  34, NEQ,   85,  110,  100,   85, 1005,  200,  12,   0,   0,   S,   0,   X,  85,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020906,   , BEST,   0, 140S, 0835E, 130,  930, XX,  34, NEQ,   65,   90,   95,   65, 1006,  190,   5,   0,   0,   S,   0,   X,  80,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020912,   , BEST,   0, 143S, 0843E, 120,  940, XX,  34, NEQ,   65,   85,   90,   60, 1005,  195,  10,   0,   0,   S,   0,   X,  95,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021020918,   , BEST,   0, 146S, 0847E, 110,  951, XX,  34, NEQ,   65,  125,  110,   60, 1007,  195,  10,   0,   0,   S,   0,   X, 105,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021000,   , BEST,   0, 151S, 0850E,  95,  962, XX,  34, NEQ,   75,  125,  110,   65, 1006,  200,  20,   0,   0,   S,   0,   X, 125,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021006,   , BEST,   0, 154S, 0850E,  95,  962, XX,  34, NEQ,   75,  125,  110,   70, 1006,  195,  20,   0,   0,   S,   0,   X, 150,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021012,   , BEST,   0, 155S, 0853E,  90,  964, XX,  34, NEQ,   75,  125,  110,   75, 1005,  190,  15,   0,   0,   S,   0,   X, 140,   3,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021018,   , BEST,   0, 159S, 0854E,  90,  964, XX,  34, NEQ,   70,  100,  120,   70, 1005,  200,  12,   0,   0,   S,   0,   X, 145,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021100,   , BEST,   0, 161S, 0850E,  95,  960, XX,  34, NEQ,   80,  110,   90,   95, 1005,  205,   5,   0,   0,   S,   0,   X, 180,   3,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021106,   , BEST,   0, 164S, 0846E,  95,  962, XX,  34, NEQ,   80,  175,  145,   60, 1007,  175,   5,   0,   0,   S,   0,   X, 215,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021112,   , BEST,   0, 166S, 0843E,  90,  966, XX,  34, NEQ,   80,  175,  145,   60, 1007,  160,  10,   0,   0,   S,   0,   X, 230,   4,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021118,   , BEST,   0, 172S, 0835E,  80,  975, XX,  34, NEQ,   75,  190,  170,   55, 1008,  170,  10,   0,   0,   S,   0,   X, 230,   6,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021200,   , BEST,   0, 182S, 0832E,  80,  975, XX,  34, NEQ,   80,  125,  110,   70, 1007,  150,  10,   0,   0,   S,   0,   X, 215,   7,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021206,   , BEST,   0, 183S, 0821E,  70,  984, XX,  34, NEQ,   80,  125,  110,   70, 1008,  165,  10,   0,   0,   S,   0,   X, 230,   9,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021212,   , BEST,   0, 185S, 0815E,  60,  988, XX,  34, NEQ,   65,  125,  110,   50, 1006,  150,  20,   0,   0,   S,   0,   X, 240,   8,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021218,   , BEST,   0, 188S, 0807E,  50,  996, XX,  34, NEQ,   60,   80,   75,   50, 1008,  150,  20,   0,   0,   S,   0,   X, 250,   8,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021300,   , BEST,   0, 190S, 0803E,  45,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  35,   0,   0,   S,   0,   X, 250,   7,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021306,   , BEST,   0, 194S, 0801E,  45,  998, XX,  34, NEQ,   60,   80,   70,   50, 1008,  150,  35,   0,   0,   S,   0,   X, 235,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021312,   , BEST,   0, 196S, 0798E,  40, 1001, XX,  34, NEQ,   60,   80,   70,   50, 1008,  150,  35,   0,   0,   S,   0,   X, 235,   5,     FARAJI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021318,   , BEST,   0, 197S, 0793E,  35, 1004, XX,  34, NEQ,   20,   90,   90,   20, 1008,  150,  55,   0,   0,   S,   0,   X, 245,   5,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021400,   , BEST,   0, 198S, 0786E,  35, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  55,   0,   0,   S,   0,   X, 255,   6,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021406,   , BEST,   0, 204S, 0776E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  125,  55,   0,   0,   S,   0,   X, 250,   7,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021412,   , BEST,   0, 201S, 0761E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  115,  40,   0,   0,   S,   0,   X, 260,  10,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021418,   , BEST,   0, 198S, 0748E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  115,  40,   0,   0,   S,   0,   X, 275,  11,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021500,   , BEST,   0, 197S, 0739E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  115,  40,   0,   0,   S,   0,   X, 280,  12,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021506,   , BEST,   0, 199S, 0729E,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  115,  45,   0,   0,   S,   0,   X, 275,  10,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021512,   , BEST,   0, 197S, 0715E,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1009,  120,  45,   0,   0,   S,   0,   X, 265,  11,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021518,   , BEST,   0, 189S, 0698E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  120,  45,   0,   0,   S,   0,   X, 280,  13,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
SH, 19, 2021021600,   , BEST,   0, 184S, 0683E,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  120,  45,   0,   0,   S,   0,   X, 290,  15,     FARAJI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192021, JTWC, NCEP_TCVITALS, 
