SH, 12, 2021011706,   , BEST,   0, 126S, 0621E,  35, 1000, XX,  34, NEQ,   65,   55,   55,   65, 1004,  200,  40,   0,   0,   S,   0,   X, 270,  10,     ELOISE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS, 
SH, 12, 2021012106,   , BEST,   0, 167S, 0427E,  35, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012112,   , BEST,   0, 166S, 0417E,  45,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012118,   , BEST,   0, 170S, 0407E,  45,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012200,   , BEST,   0, 178S, 0395E,  60,  990, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012206,   , BEST,   0, 183S, 0380E,  65,  986, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012212,   , BEST,   0, 188S, 0368E,  75,  980, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012218,   , BEST,   0, 191S, 0359E,  75,  980, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012300,   , BEST,   0, 199S, 0348E,  85,  975, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012306,   , BEST,   0, 204S, 0340E,  75,  980, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012312,   , BEST,   0, 208S, 0332E,  60,  990, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
SH, 12, 2021012318,   , BEST,   0, 213S, 0325E,  45,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   S,   0,   X, 270,  12,     ELOISE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH122021, JTWC, NCEP_TCVITALS,
