SH, 05, 2020121212,   , BEST,   0, 137S, 1729E,  35, 1000, XX,  34, NEQ,   95,   35,   50,  110, 1005,  190,  70,   0,   0,   P,   0,   X, 110,  10,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121600,   , BEST,   0, 146S, 1741E, 140,  914, XX,  34, NEQ,  140,  120,  115,  125, 1003,  215,  20,   0,   0,   P,   0,   X,  80,   5,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121606,   , BEST,   0, 150S, 1750E, 140,  914, XX,  34, NEQ,  140,  120,  115,  125, 1002,  205,  15,   0,   0,   P,   0,   X,  95,   6,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121612,   , BEST,   0, 152S, 1756E, 140,  915, XX,  34, NEQ,  140,  120,  120,  125, 1003,  185,  15,   0,   0,   P,   0,   X, 105,   7,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121618,   , BEST,   0, 155S, 1767E, 135,  918, XX,  34, NEQ,  180,  150,  140,  140, 1001,  185,  15,   0,   0,   P,   0,   X, 110,   9,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121700,   , BEST,   0, 160S, 1777E, 130,  925, XX,  34, NEQ,  165,  145,  150,  145, 1002,  175,  12,   0,   0,   P,   0,   X, 110,   9,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121706,   , BEST,   0, 165S, 1788E, 130,  924, XX,  34, NEQ,  180,  160,  145,  150, 1001,  195,   5,   0,   0,   P,   0,   X, 115,  11,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121712,   , BEST,   0, 172S, 1799W, 115,  943, XX,  34, NEQ,  175,  170,  155,  145, 1004,  205,  15,   0,   0,   P,   0,   X, 115,  12,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121718,   , BEST,   0, 179S, 1794W,  85,  967, XX,  34, NEQ,  190,  165,  150,  175, 1004,  205,  15,   0,   0,   P,   0,   X, 125,  11,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121800,   , BEST,   0, 183S, 1789W,  75,  975, XX,  34, NEQ,  120,  165,  155,   90, 1004,  205,  15,   0,   0,   P,   0,   X, 130,  10,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121806,   , BEST,   0, 191S, 1783W,  75,  974, XX,  34, NEQ,  175,  185,  145,  125, 1004,  195,  15,   0,   0,   P,   0,   X, 140,   9,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121812,   , BEST,   0, 199S, 1778W,  70,  977, XX,  34, NEQ,  175,  185,  145,  125, 1005,  185,  25,   0,   0,   P,   0,   X, 145,   8,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121818,   , BEST,   0, 201S, 1778W,  65,  981, XX,  34, NEQ,  150,  170,  145,  110, 1005,  185,  25,   0,   0,   P,   0,   X, 150,   7,       YASA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121900,   , BEST,   0, 210S, 1783W,  50,  989, XX,  34, NEQ,  125,  195,  165,   95, 1005,  210,  30,   0,   0,   P,   0,   X, 185,   7,       YASA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121906,   , BEST,   0, 217S, 1780W,  45,  990, XX,  34, NEQ,  135,  195,  160,  115, 1004,  215,  30,   0,   0,   P,   0,   X, 180,   7,       YASA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121912,   , BEST,   0, 221S, 1778W,  50,  990, XX,  34, NEQ,  130,  150,  110,   35, 1005,  200,  30,   0,   0,   P,   0,   X, 175,   6,       YASA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
SH, 05, 2020121918,   , BEST,   0, 228S, 1780W,  50,  988, XX,  34, NEQ,  120,  160,  115,   90, 1005,  200,  40,   0,   0,   P,   0,   X, 180,   6,       YASA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052021, JTWC, NCEP_TCVITALS, 
