SH, 15, 2020020900,   , BEST,   0, 151S, 1636E,  35,  996, XX,  34, NEQ,   70,   80,    0,    0, 1002,  180,  40,   0,   0,   P,   0,   X, 180,   4,    FIFTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021118,   , BEST,   0, 216S, 1627E,  75,  972, XX,  34, NEQ,  130,  130,   95,   95, 1002,  175,  20,   0,   0,   P,   0,   X, 175,   9,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021200,   , BEST,   0, 226S, 1625E,  70,  976, XX,  34, NEQ,   70,  140,  125,   70, 1001,  160,  20,   0,   0,   P,   0,   X, 180,  10,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021206,   , BEST,   0, 234S, 1622E,  70,  973, XX,  34, NEQ,  110,  145,  115,   80, 1000,  180,  25,   0,   0,   P,   0,   X, 190,  10,       UESI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021212,   , BEST,   0, 244S, 1619E,  60,  975, XX,  34, NEQ,  140,  205,  180,  100, 1000,  190,  40,   0,   0,   P,   0,   X, 195,  10,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021218,   , BEST,   0, 259S, 1617E,  55,  977, XX,  34, NEQ,  145,  200,  180,  100, 1000,  195,  30,   0,   0,   P,   0,   X, 190,  11,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021300,   , BEST,   0, 277S, 1611E,  55,  980, XX,  34, NEQ,  140,  210,  155,   85, 1002,  190,  30,   0,   0,   P,   0,   X, 195,  15,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021306,   , BEST,   0, 288S, 1604E,  55,  979, XX,  34, NEQ,  175,  210,  160,  100, 1002,  205,  70,   0,   0,   P,   0,   X, 195,  15,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021312,   , BEST,   0, 303S, 1603E,  55,  977, XX,  34, NEQ,  195,  245,  185,  110, 1002,  200,  70,   0,   0,   P,   0,   X, 195,  15,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021318,   , BEST,   0, 316S, 1596E,  50,  979, XX,  34, NEQ,  175,  250,  190,  110, 1002,  195,  70,   0,   0,   P,   0,   X, 195,  15,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021400,   , BEST,   0, 328S, 1585E,  45,  983, XX,  34, NEQ,  160,  260,  215,  130, 1004,  210,  70,   0,   0,   P,   0,   X, 205,  15,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021406,   , BEST,   0, 338S, 1586E,  50,  979, XX,  34, NEQ,  165,  265,  205,  125, 1004,  210,  70,   0,   0,   P,   0,   X, 200,  13,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021412,   , BEST,   0, 348S, 1589E,  50,  980, XX,  34, NEQ,  120,  210,  210,  145, 1004,  210,  70,   0,   0,   P,   0,   X, 190,  11,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021418,   , BEST,   0, 358S, 1592E,  50,  978, XX,  34, NEQ,  150,  240,  215,  110, 1004,  230,  70,   0,   0,   P,   0,   X, 170,  10,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
SH, 15, 2020021500,   , BEST,   0, 373S, 1592E,  35,  990, XX,  34, NEQ,    0,    0,    0,    0, 1004,  230,  70,   0,   0,   P,   0,   X, 170,  12,       UESI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH152020, JTWC, NCEP_TCVITALS, 
