SH, 13, 2021012100,   , BEST,   0, 124S, 0972E,  35,  999, XX,  34, NEQ,   45,   60,   60,   70, 1004,  190,  40,   0,   0,   S,   0,   X, 210,   6,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012318,   , BEST,   0, 152S, 0977E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012400,   , BEST,   0, 160S, 0976E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012406,   , BEST,   0, 161S, 0965E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012412,   , BEST,   0, 161S, 0962E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012418,   , BEST,   0, 160S, 0957E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012500,   , BEST,   0, 165S, 0957E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012506,   , BEST,   0, 171S, 0959E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012512,   , BEST,   0, 176S, 0954E,  35, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012518,   , BEST,   0, 183S, 0949E,  35,  999, XX,  34, NEQ,   45,   60,   60,   70, 1004,  190,  40,   0,   0,   S,   0,   X, 210,   6,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012600,   , BEST,   0, 183S, 0946E,  35, 1000, XX,  34, NEQ,   50,   60,   60,   70, 1005,  200,  40,   0,   0,   S,   0,   X, 230,   6,   THIRTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012800,   , BEST,   0, 189S, 0874E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  35,   0,   0,   S,   0,   X, 280,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012806,   , BEST,   0, 187S, 0856E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  35,   0,   0,   S,   0,   X, 280,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012812,   , BEST,   0, 180S, 0850E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  35,   0,   0,   S,   0,   X, 285,  13,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012818,   , BEST,   0, 175S, 0832E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  35,   0,   0,   S,   0,   X, 290,  14,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012900,   , BEST,   0, 173S, 0806E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  35,   0,   0,   S,   0,   X, 285,  17,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012906,   , BEST,   0, 176S, 0786E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 275,  20,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021012912,   , BEST,   0, 175S, 0773E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  30,   0,   0,   S,   0,   X, 270,  19,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
SH, 13, 2021013000,   , BEST,   0, 174S, 0730E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,   70,  30,   0,   0,   S,   0,   X, 270,  18,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH132021, JTWC, NCEP_TCVITALS, 
