SH, 19, 2020022312,   , BEST,   0, 151S, 1390E,  35,  996, XX,  34, NEQ,   95,  110,  110,   95, 1003,  215,  50,   0,   0,   P,   0,   X, 185,   4,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022618,   , BEST,   0, 156S, 1314E,  35,  996, XX,  34, NEQ,   45,   45,   45,   45, 1004,  220,  30,   0,   0,   P,   0,   X, 295,   7,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022700,   , BEST,   0, 155S, 1308E,  35,  996, XX,  34, NEQ,   45,   45,   45,   45, 1006,  195,  30,   0,   0,   P,   0,   X, 300,   6,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022706,   , BEST,   0, 153S, 1299E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1006,  195,  30,   0,   0,   P,   0,   X, 280,   7,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022712,   , BEST,   0, 153S, 1297E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1006,  195,  30,   0,   0,   P,   0,   X, 280,   6,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022718,   , BEST,   0, 152S, 1289E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  195,  30,   0,   0,   P,   0,   X, 280,   6,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022800,   , BEST,   0, 153S, 1283E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  30,   0,   0,   P,   0,   X, 270,   5,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022806,   , BEST,   0, 155S, 1270E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  30,   0,   0,   P,   0,   X, 265,   8,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022812,   , BEST,   0, 156S, 1260E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  30,   0,   0,   P,   0,   X, 260,   9,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022818,   , BEST,   0, 157S, 1251E,  35,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  185,  30,   0,   0,   P,   0,   X, 260,  10,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022906,   , BEST,   0, 168S, 1238E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  25,   0,   0,   P,   0,   X, 240,   8,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022912,   , BEST,   0, 175S, 1234E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  25,   0,   0,   P,   0,   X, 220,   8,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020022918,   , BEST,   0, 181S, 1235E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  25,   0,   0,   P,   0,   X, 205,   7,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
SH, 19, 2020030106,   , BEST,   0, 181S, 1246E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  160,  25,   0,   0,   P,   0,   X, 120,   4,     ESTHER, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH192020, JTWC, NCEP_TCVITALS, 
