State,County,NS_events,H_events,MH_events,NS_climo,H_climo,MH_climo,NS_current,H_current,MH_current
Maine,Lincoln,16,3,0,11%,2%,<1%,20%,4%,<1%
Maine,Sagadahoc,17,3,0,11%,2%,<1%,21%,4%,<1%
Maine,Waldo,15,3,0,10%,2%,<1%,19%,4%,<1%
Maine,Washington,18,6,1,12%,4%,1%,22%,8%,1%
Maine,York,22,5,1,14%,3%,1%,26%,7%,1%
Maryland,Anne Arundel,18,1,0,12%,1%,<1%,22%,1%,<1%
Maryland,Baltimore,15,1,0,10%,1%,<1%,19%,1%,<1%
Maryland,Baltimore City,12,1,0,8%,1%,<1%,15%,1%,<1%
Maryland,Calvert,21,2,0,14%,1%,<1%,25%,3%,<1%
Maryland,Cecil,18,1,0,12%,1%,<1%,22%,1%,<1%
Maryland,Dorchester,26,5,0,17%,3%,<1%,30%,7%,<1%
Maryland,Harford,15,0,0,10%,0%,<1%,19%,0%,<1%
Maryland,Kent,18,0,0,12%,0%,<1%,22%,0%,<1%
Maryland,Queen Anne's,19,1,0,13%,1%,<1%,23%,1%,<1%
Maryland,Somerset,33,9,0,21%,6%,<1%,37%,12%,<1%
Maryland,St. Mary's,27,3,0,17%,2%,<1%,31%,4%,<1%
Maryland,Talbot,20,1,0,13%,1%,<1%,24%,1%,<1%
Maryland,Wicomico,28,6,0,18%,4%,<1%,32%,8%,<1%
Maryland,Worcester,38,13,1,24%,9%,1%,41%,16%,1%
Massachusetts,Barnstable,26,13,2,17%,9%,1%,30%,16%,3%
Massachusetts,Dukes,31,11,2,20%,8%,1%,35%,14%,3%
Massachusetts,Essex,22,7,1,14%,5%,1%,26%,9%,1%
Massachusetts,Nantucket,30,14,2,19%,9%,1%,34%,18%,3%
Massachusetts,Norfolk,23,7,1,15%,5%,1%,27%,9%,1%
Massachusetts,Plymouth,25,10,2,16%,7%,1%,29%,13%,3%
Massachusetts,Suffolk,22,7,1,14%,5%,1%,26%,9%,1%
Mississippi,Hancock,54,22,6,32%,14%,4%,53%,26%,8%
Mississippi,Harrison,59,26,6,34%,17%,4%,56%,30%,8%
Mississippi,Jackson,55,24,8,32%,16%,6%,53%,28%,10%
New Hampshire,Rockingham,22,5,1,14%,3%,1%,26%,7%,1%
New Jersey,Atlantic,27,10,1,17%,7%,1%,31%,13%,1%
New Jersey,Burlington,25,8,0,16%,6%,<1%,29%,10%,<1%
New Jersey,Cape May,28,10,1,18%,7%,1%,32%,13%,1%
New Jersey,Essex,20,4,0,13%,3%,<1%,24%,5%,<1%
New Jersey,Hudson,20,4,0,13%,3%,<1%,24%,5%,<1%
New Jersey,Middlesex,21,5,0,14%,3%,<1%,25%,7%,<1%
New Jersey,Monmouth,25,9,1,16%,6%,1%,29%,12%,1%
New Jersey,Ocean,28,10,1,18%,7%,1%,32%,13%,1%
New Jersey,Salem,18,2,0,12%,1%,<1%,22%,3%,<1%
New Jersey,Union,20,4,0,13%,3%,<1%,24%,5%,<1%
New York,Bronx,23,7,1,15%,5%,1%,27%,9%,1%
New York,Kings,21,6,0,14%,4%,<1%,25%,8%,<1%
New York,Nassau,24,8,2,16%,6%,1%,28%,10%,3%
New York,New York,26,9,1,17%,6%,1%,30%,12%,1%
New York,Queens,24,8,1,16%,6%,1%,28%,10%,1%
New York,Richmond,23,7,0,15%,5%,<1%,27%,9%,<1%
New York,Suffolk,33,12,3,21%,8%,2%,37%,15%,4%
New York,Westchester,24,7,1,16%,5%,1%,28%,9%,1%
North Carolina,Beaufort,66,22,1,37%,14%,1%,60%,26%,1%
North Carolina,Bertie,57,15,1,33%,10%,1%,55%,19%,1%
North Carolina,Brunswick,74,32,6,41%,20%,4%,64%,36%,8%
North Carolina,Camden,61,20,1,35%,13%,1%,57%,24%,1%
North Carolina,Carteret,92,46,6,48%,28%,4%,72%,47%,8%
North Carolina,Chowan,49,17,1,29%,11%,1%,49%,21%,1%
North Carolina,Craven,76,31,1,42%,20%,1%,65%,35%,1%
North Carolina,Currituck,63,22,2,36%,14%,1%,58%,26%,3%
North Carolina,Dare,94,45,6,49%,27%,4%,73%,46%,8%
North Carolina,Gates,41,12,0,25%,8%,<1%,43%,15%,<1%
North Carolina,Hertford,46,11,0,28%,8%,<1%,47%,14%,<1%
North Carolina,Hyde,97,45,5,50%,27%,3%,74%,46%,7%
North Carolina,New Hanover,71,32,6,40%,20%,4%,63%,36%,8%
North Carolina,Onslow,74,35,5,41%,22%,3%,64%,38%,7%
North Carolina,Pamlico,73,31,2,40%,20%,1%,64%,35%,3%
North Carolina,Pasquotank,55,19,1,32%,13%,1%,53%,23%,1%
North Carolina,Pender,76,35,6,42%,22%,4%,65%,38%,8%
North Carolina,Perquimans,52,18,1,31%,12%,1%,51%,22%,1%
North Carolina,Tyrrell,64,26,2,36%,17%,1%,59%,30%,3%
North Carolina,Washington,58,19,1,34%,13%,1%,55%,23%,1%
Rhode Island,Bristol,21,8,2,14%,6%,1%,25%,10%,3%
Rhode Island,Kent,23,8,1,15%,6%,1%,27%,10%,1%
Rhode Island,Newport,25,10,2,16%,7%,1%,29%,13%,3%
Rhode Island,Providence,25,9,1,16%,6%,1%,29%,12%,1%
Rhode Island,Washington/South,28,9,2,18%,6%,1%,32%,12%,3%
South Carolina,Beaufort,67,22,5,38%,14%,3%,60%,26%,7%
South Carolina,Charleston,80,33,7,43%,21%,5%,67%,37%,9%
South Carolina,Colleton,71,26,6,40%,17%,4%,63%,30%,8%
South Carolina,Georgetown,64,27,6,36%,17%,4%,59%,31%,8%
South Carolina,Horry,69,32,6,39%,20%,4%,61%,36%,8%
South Carolina,Jasper,69,21,4,39%,14%,3%,61%,25%,5%
Texas,Aransas,30,16,7,19%,11%,5%,34%,20%,9%
Texas,Brazoria,51,25,7,30%,16%,5%,51%,29%,9%
Texas,Calhoun,41,20,7,25%,13%,5%,43%,24%,9%
Texas,Cameron,39,20,7,24%,13%,5%,42%,24%,9%
Texas,Chambers,51,24,7,30%,16%,5%,51%,28%,9%
Texas,Galveston,58,29,8,34%,19%,6%,55%,33%,10%
Texas,Harris,49,24,6,29%,16%,4%,49%,28%,8%
Texas,Jefferson,49,25,6,29%,16%,4%,49%,29%,8%
Texas,Kenedy,39,21,10,24%,14%,7%,42%,25%,13%
Texas,Kleberg,36,19,8,23%,13%,6%,39%,23%,10%
Texas,Matagorda,54,27,11,32%,17%,8%,53%,31%,14%
Texas,Nueces,39,21,9,24%,14%,6%,42%,25%,12%
Texas,Refugio,34,14,6,21%,9%,4%,38%,18%,8%
Texas,San Patricio,34,17,7,21%,11%,5%,38%,21%,9%
Texas,Willacy,35,19,8,22%,13%,6%,38%,23%,10%
Virginia,Accomack,44,13,0,27%,9%,<1%,46%,16%,<1%
Virginia,Gloucester,34,7,0,21%,5%,<1%,38%,9%,<1%
Virginia,Hampton,44,12,0,27%,8%,<1%,46%,15%,<1%
Virginia,Lancaster,31,5,0,20%,3%,<1%,35%,7%,<1%
Virginia,Mathews,34,7,0,21%,5%,<1%,38%,9%,<1%
Virginia,Middlesex,33,5,0,21%,3%,<1%,37%,7%,<1%
Virginia,Newport News,35,8,0,22%,6%,<1%,38%,10%,<1%
Virginia,Norfolk,42,12,0,26%,8%,<1%,44%,15%,<1%
Virginia,Northampton,44,13,0,27%,9%,<1%,46%,16%,<1%
Virginia,Northumberland,30,5,0,19%,3%,<1%,34%,7%,<1%
Virginia,Poquoson,38,9,0,24%,6%,<1%,41%,12%,<1%
Virginia,Portsmouth,38,10,0,24%,7%,<1%,41%,13%,<1%
Virginia,Suffolk,41,11,0,25%,8%,<1%,43%,14%,<1%
Virginia,Virginia Beach,50,18,0,30%,12%,<1%,50%,22%,<1%
Virginia,York,40,9,0,25%,6%,<1%,42%,12%,<1%
