State,County,NS_events,H_events,MH_events,NS_current,H_current,MH_current,NS_climo,H_climo,MH_climo
Florida,Manatee,65,28,11,59%,32%,14%,37%,18%,8%
Florida,Martin,67,27,10,60%,31%,13%,38%,17%,7%
Florida,Miami-Dade,79,37,21,66%,40%,25%,43%,23%,14%
Florida,Monroe,103,50,26,76%,50%,30%,52%,30%,17%
Florida,Nassau,69,20,5,61%,24%,7%,39%,13%,3%
Florida,Okaloosa,62,24,8,58%,28%,10%,36%,16%,6%
Florida,Palm Beach,77,34,13,66%,38%,16%,42%,21%,9%
Florida,Pasco,63,26,7,58%,30%,9%,36%,17%,5%
Florida,Pinellas,64,26,10,59%,30%,13%,36%,17%,7%
Florida,Santa Rosa,61,25,8,57%,29%,10%,35%,16%,6%
Florida,Sarasota,63,26,12,58%,30%,15%,36%,17%,8%
Florida,St. Johns,68,23,5,61%,27%,7%,38%,15%,3%
Florida,St. Lucie,63,23,8,58%,27%,10%,36%,15%,6%
Florida,Taylor,62,16,1,58%,20%,1%,36%,11%,1%
Florida,Volusia,69,26,3,61%,30%,4%,39%,17%,2%
Florida,Wakulla,54,18,2,53%,22%,3%,32%,12%,1%
Florida,Walton,60,26,8,56%,30%,10%,35%,17%,6%
Georgia,,140,51,9,86%,51%,12%,63%,30%,6%
Georgia,Bryan,69,21,3,61%,25%,4%,39%,14%,2%
Georgia,Camden,72,18,5,63%,22%,7%,40%,12%,3%
Georgia,Chatham,72,22,4,63%,26%,5%,40%,14%,3%
Georgia,Glynn,64,15,5,59%,19%,7%,36%,10%,3%
Georgia,Liberty,72,22,4,63%,26%,5%,40%,14%,3%
Georgia,McIntosh,69,21,4,61%,25%,5%,39%,14%,3%
Louisiana,,151,68,22,88%,61%,26%,66%,38%,14%
Louisiana,Cameron ,53,23,7,52%,27%,9%,31%,15%,5%
Louisiana,Iberia,59,25,7,56%,29%,9%,34%,16%,5%
Louisiana,Jefferson,67,30,8,60%,34%,10%,38%,19%,6%
Louisiana,Lafourche,71,33,8,63%,37%,10%,40%,21%,6%
Louisiana,Orleans,54,23,6,53%,27%,8%,32%,15%,4%
Louisiana,Plaquemines,80,35,10,67%,38%,13%,43%,22%,7%
Louisiana,St. Bernard,74,33,11,64%,37%,14%,41%,21%,8%
Louisiana,St. Mary,61,27,6,57%,31%,8%,35%,17%,4%
Louisiana,St. Tammany,58,24,6,55%,28%,8%,34%,16%,4%
Louisiana,Terrebonne,79,34,9,66%,38%,12%,43%,21%,6%
Louisiana,Vermilion,52,24,7,51%,28%,9%,31%,16%,5%
Maine,,34,10,2,38%,13%,3%,21%,7%,1%
Maine,Cumberland,18,3,0,22%,4%,<1%,12%,2%,<1%
Maine,Hancock,16,6,1,20%,8%,1%,11%,4%,1%
Maine,Knox,20,6,1,24%,8%,1%,13%,4%,1%
Maine,Lincoln,16,3,0,20%,4%,<1%,11%,2%,<1%
Maine,Sagadahoc,17,3,0,21%,4%,<1%,11%,2%,<1%
Maine,Waldo,15,3,0,19%,4%,<1%,10%,2%,<1%
Maine,Washington,18,6,1,22%,8%,1%,12%,4%,1%
Maine,York,22,5,1,26%,7%,1%,14%,3%,1%
Maryland,,52,16,1,51%,20%,1%,31%,11%,1%
Maryland,Anne Arundel,18,1,0,22%,1%,<1%,12%,1%,<1%
Maryland,Baltimore,15,1,0,19%,1%,<1%,10%,1%,<1%
Maryland,Baltimore City,12,1,0,15%,1%,<1%,8%,1%,<1%
Maryland,Calvert,21,2,0,25%,3%,<1%,14%,1%,<1%
Maryland,Cecil,18,1,0,22%,1%,<1%,12%,1%,<1%
Maryland,Dorchester,26,5,0,30%,7%,<1%,17%,3%,<1%
Maryland,Harford,15,0,0,19%,0%,<1%,10%,0%,<1%
Maryland,Kent,18,0,0,22%,0%,<1%,12%,0%,<1%
Maryland,Queen Anne's,19,1,0,23%,1%,<1%,13%,1%,<1%
Maryland,Somerset,33,9,0,37%,12%,<1%,21%,6%,<1%
Maryland,St. Mary's,27,3,0,31%,4%,<1%,17%,2%,<1%
Maryland,Talbot,20,1,0,24%,1%,<1%,13%,1%,<1%
Maryland,Wicomico,28,6,0,32%,8%,<1%,18%,4%,<1%
Maryland,Worcester,38,13,1,41%,16%,1%,24%,9%,1%
Massachusetts,,56,22,4,54%,26%,5%,33%,14%,3%
Massachusetts,Barnstable,26,13,2,30%,16%,3%,17%,9%,1%
Massachusetts,Dukes,31,11,2,35%,14%,3%,20%,8%,1%
Massachusetts,Essex,22,7,1,26%,9%,1%,14%,5%,1%
Massachusetts,Nantucket,30,14,2,34%,18%,3%,19%,9%,1%
Massachusetts,Norfolk,23,7,1,27%,9%,1%,15%,5%,1%
Massachusetts,Plymouth,25,10,2,29%,13%,3%,16%,7%,1%
Massachusetts,Suffolk,22,7,1,26%,9%,1%,14%,5%,1%
Mississippi,,106,47,11,77%,48%,14%,53%,28%,8%
Mississippi,Hancock,54,22,6,53%,26%,8%,32%,14%,4%
Mississippi,Harrison,59,26,6,56%,30%,8%,34%,17%,4%
Mississippi,Jackson,55,24,8,53%,28%,10%,32%,16%,6%
New Hampshire,,28,8,2,32%,10%,3%,18%,6%,1%
New Hampshire,Rockingham,22,5,1,26%,7%,1%,14%,3%,1%
New Jersey,,36,10,1,39%,13%,1%,23%,7%,1%
New Jersey,Atlantic,27,10,1,31%,13%,1%,17%,7%,1%
New Jersey,Burlington,25,8,0,29%,10%,<1%,16%,6%,<1%
New Jersey,Cape May,28,10,1,32%,13%,1%,18%,7%,1%
New Jersey,Essex,20,4,0,24%,5%,<1%,13%,3%,<1%
New Jersey,Hudson,20,4,0,24%,5%,<1%,13%,3%,<1%
New Jersey,Middlesex,21,5,0,25%,7%,<1%,14%,3%,<1%
New Jersey,Monmouth,25,9,1,29%,12%,1%,16%,6%,1%
New Jersey,Ocean,28,10,1,32%,13%,1%,18%,7%,1%
New Jersey,Salem,18,2,0,22%,3%,<1%,12%,1%,<1%
New Jersey,Union,20,4,0,24%,5%,<1%,13%,3%,<1%
New York,,43,14,3,45%,18%,4%,26%,9%,2%
New York,Bronx,23,7,1,27%,9%,1%,15%,5%,1%
New York,Kings,21,6,0,25%,8%,<1%,14%,4%,<1%
New York,Nassau,24,8,2,28%,10%,3%,16%,6%,1%
New York,New York,26,9,1,30%,12%,1%,17%,6%,1%
New York,Queens,24,8,1,28%,10%,1%,16%,6%,1%
New York,Richmond,23,7,0,27%,9%,<1%,15%,5%,<1%
New York,Suffolk,33,12,3,37%,15%,4%,21%,8%,2%
New York,Westchester,24,7,1,28%,9%,1%,16%,5%,1%
North Carolina,,159,68,11,89%,61%,14%,68%,38%,8%
North Carolina,Beaufort,66,22,1,60%,26%,1%,37%,14%,1%
North Carolina,Bertie,57,15,1,55%,19%,1%,33%,10%,1%
North Carolina,Brunswick,74,32,6,64%,36%,8%,41%,20%,4%
North Carolina,Camden,61,20,1,57%,24%,1%,35%,13%,1%
North Carolina,Carteret,92,46,6,72%,47%,8%,48%,28%,4%
North Carolina,Chowan,49,17,1,49%,21%,1%,29%,11%,1%
North Carolina,Craven,76,31,1,65%,35%,1%,42%,20%,1%
North Carolina,Currituck,63,22,2,58%,26%,3%,36%,14%,1%
North Carolina,Dare,94,45,6,73%,46%,8%,49%,27%,4%
North Carolina,Gates,41,12,0,43%,15%,<1%,25%,8%,<1%
North Carolina,Hertford,46,11,0,47%,14%,<1%,28%,8%,<1%
North Carolina,Hyde,97,45,5,74%,46%,7%,50%,27%,3%
North Carolina,New Hanover,71,32,6,63%,36%,8%,40%,20%,4%
North Carolina,Onslow,74,35,5,64%,38%,7%,41%,22%,3%
North Carolina,Pamlico,73,31,2,64%,35%,3%,40%,20%,1%
North Carolina,Pasquotank,55,19,1,53%,23%,1%,32%,13%,1%
North Carolina,Pender,76,35,6,65%,38%,8%,42%,22%,4%
North Carolina,Perquimans,52,18,1,51%,22%,1%,31%,12%,1%
North Carolina,Tyrrell,64,26,2,59%,30%,3%,36%,17%,1%
North Carolina,Washington,58,19,1,55%,23%,1%,34%,13%,1%
Rhode Island,,32,11,2,36%,14%,3%,20%,8%,1%
Rhode Island,Bristol,21,8,2,25%,10%,3%,14%,6%,1%
Rhode Island,Kent,23,8,1,27%,10%,1%,15%,6%,1%
Rhode Island,Newport,25,10,2,29%,13%,3%,16%,7%,1%
Rhode Island,Providence,25,9,1,29%,12%,1%,16%,6%,1%
Rhode Island,Washington/South,28,9,2,32%,12%,3%,18%,6%,1%
South Carolina,,118,48,12,80%,49%,15%,57%,29%,8%
South Carolina,Beaufort,67,22,5,60%,26%,7%,38%,14%,3%
South Carolina,Charleston,80,33,7,67%,37%,9%,43%,21%,5%
South Carolina,Colleton,71,26,6,63%,30%,8%,40%,17%,4%
South Carolina,Georgetown,64,27,6,59%,31%,8%,36%,17%,4%
South Carolina,Horry,69,32,6,61%,36%,8%,39%,20%,4%
South Carolina,Jasper,69,21,4,61%,25%,5%,39%,14%,3%
Texas,,133,64,24,84%,59%,28%,61%,36%,16%
Texas,Aransas,30,16,7,34%,20%,9%,19%,11%,5%
Texas,Brazoria,51,25,7,51%,29%,9%,30%,16%,5%
Texas,Calhoun,41,20,7,43%,24%,9%,25%,13%,5%
Texas,Cameron,39,20,7,42%,24%,9%,24%,13%,5%
Texas,Chambers,51,24,7,51%,28%,9%,30%,16%,5%
Texas,Galveston,58,29,8,55%,33%,10%,34%,19%,6%
Texas,Harris,49,24,6,49%,28%,8%,29%,16%,4%
Texas,Jefferson,49,25,6,49%,29%,8%,29%,16%,4%
Texas,Kenedy,39,21,10,42%,25%,13%,24%,14%,7%
Texas,Kleberg,36,19,8,39%,23%,10%,23%,13%,6%
Texas,Matagorda,54,27,11,53%,31%,14%,32%,17%,8%
Texas,Nueces,39,21,9,42%,25%,12%,24%,14%,6%
Texas,Refugio,34,14,6,38%,18%,8%,21%,9%,4%
Texas,San Patricio,34,17,7,38%,21%,9%,21%,11%,5%
Texas,Willacy,35,19,8,38%,23%,10%,22%,13%,6%
Virginia,,86,31,2,70%,35%,3%,46%,20%,1%
Virginia,Accomack,44,13,0,46%,16%,<1%,27%,9%,<1%
Virginia,Gloucester,34,7,0,38%,9%,<1%,21%,5%,<1%
Virginia,Hampton,44,12,0,46%,15%,<1%,27%,8%,<1%
Virginia,Lancaster,31,5,0,35%,7%,<1%,20%,3%,<1%
Virginia,Mathews,34,7,0,38%,9%,<1%,21%,5%,<1%
Virginia,Middlesex,33,5,0,37%,7%,<1%,21%,3%,<1%
Virginia,Newport News,35,8,0,38%,10%,<1%,22%,6%,<1%
Virginia,Norfolk,42,12,0,44%,15%,<1%,26%,8%,<1%
Virginia,Northampton,44,13,0,46%,16%,<1%,27%,9%,<1%
Virginia,Northumberland,30,5,0,34%,7%,<1%,19%,3%,<1%
Virginia,Poquoson,38,9,0,41%,12%,<1%,24%,6%,<1%
Virginia,Portsmouth,38,10,0,41%,13%,<1%,24%,7%,<1%
Virginia,Suffolk,41,11,0,43%,14%,<1%,25%,8%,<1%
Virginia,Virginia Beach,50,18,0,50%,22%,<1%,30%,12%,<1%
Virginia,York,40,9,0,42%,12%,<1%,25%,6%,<1%
Canada,,100,48,2,75%,49%,3%,51%,29%,1%
New Brunswick,,57,11,1,55%,14%,1%,33%,8%,1%
Newfoundland and Labrador,,43,24,1,45%,28%,1%,26%,16%,1%
Nova Scotia,,77,44,1,66%,46%,1%,42%,27%,1%
Prince Edward Island,,14,9,0,18%,12%,<1%,9%,6%,<1%
Mexico,,204,83,29,94%,68%,33%,76%,44%,19%
Campeche,,89,33,7,71%,37%,9%,47%,21%,5%
Quintana Roo,,139,57,23,85%,55%,27%,63%,33%,15%
Tabasco,,40,8,0,42%,10%,<1%,25%,6%,<1%
Tamaulipas,,89,43,14,71%,45%,18%,47%,26%,9%
Veracruz,,83,32,4,68%,36%,5%,44%,20%,3%
Yucatan,,107,43,18,77%,45%,22%,53%,26%,12%
Anguilla,,61,28,12,57%,32%,15%,35%,18%,8%
Antigua and Barbuda,,46,23,10,47%,27%,13%,28%,15%,7%
Aruba,,15,7,0,19%,9%,<1%,10%,5%,<1%
"Bahamas, The",,237,106,50,96%,77%,50%,81%,53%,30%
Barbados,,47,9,2,48%,12%,3%,28%,6%,1%
Belize,,76,30,9,65%,34%,12%,42%,19%,6%
Bermuda,,71,42,17,63%,44%,21%,40%,26%,11%
Bonaire,,11,5,0,14%,7%,<1%,8%,3%,<1%
Cabo Verde,,25,4,0,29%,5%,<1%,16%,3%,<1%
Cayman Islands,,71,37,11,63%,40%,14%,40%,23%,8%
Costa Rica,,8,3,1,10%,4%,1%,6%,2%,1%
Cuba,,204,102,41,94%,76%,43%,76%,51%,25%
Curacao,,13,6,0,16%,8%,<1%,9%,4%,<1%
Dominica,,57,21,10,55%,25%,13%,33%,14%,7%
Dominican Republic,,123,61,26,82%,57%,30%,58%,35%,17%
Grenada,,46,10,1,47%,13%,1%,28%,7%,1%
Guadeloupe,,59,28,10,56%,32%,13%,34%,18%,7%
Guatemala,,68,23,4,61%,27%,5%,38%,15%,3%
Haiti,,82,42,14,68%,44%,18%,44%,26%,9%
Honduras,,146,46,16,87%,47%,20%,64%,28%,11%
Jamaica,,88,36,12,70%,39%,15%,46%,23%,8%
Martinique,,59,17,6,56%,21%,8%,34%,11%,4%
Montserrat,,43,22,8,45%,26%,10%,26%,14%,6%
Nicaragua,,62,25,11,58%,29%,14%,36%,16%,8%
Panama,,2,1,0,3%,1%,<1%,1%,1%,<1%
Puerto Rico,,73,38,14,64%,41%,18%,40%,24%,9%
Saba,,39,23,9,42%,27%,12%,24%,15%,6%
Saint Kitts and Nevis,,59,32,13,56%,36%,16%,34%,20%,9%
Saint Lucia,,73,15,5,64%,19%,7%,40%,10%,3%
Saint Martin,,43,23,11,45%,27%,14%,26%,15%,8%
Saint Vincent and the Grenadines,,74,13,2,64%,16%,3%,41%,9%,1%
Sint Eustatius,,40,23,11,42%,27%,14%,25%,15%,8%
Sint Maarten,,43,23,11,45%,27%,14%,26%,15%,8%
Trinidad and Tobago,,11,3,0,14%,4%,<1%,8%,2%,<1%
Turks and Caicos,,73,32,16,64%,36%,20%,40%,20%,11%
UK Virgin Islands,,69,35,15,61%,38%,19%,39%,22%,10%
US Virgin Islands,,57,30,12,55%,34%,15%,33%,19%,8%
