State,County,NS_events,H_events,MH_events,NS_current,H_current,MH_current,NS_climo,H_climo,MH_climo
New York,New York,26,9,1,17%,6%,1%,17%,6%,1%
New York,Queens,24,8,1,16%,6%,1%,16%,6%,1%
New York,Richmond,23,7,0,15%,5%,<1%,15%,5%,<1%
New York,Suffolk,33,12,3,21%,8%,2%,21%,8%,2%
New York,Westchester,24,7,1,16%,5%,1%,16%,5%,1%
North Carolina,,159,68,11,68%,38%,8%,68%,38%,8%
North Carolina,Beaufort,66,22,1,37%,14%,1%,37%,14%,1%
North Carolina,Bertie,57,15,1,33%,10%,1%,33%,10%,1%
North Carolina,Brunswick,74,32,6,41%,20%,4%,41%,20%,4%
North Carolina,Camden,61,20,1,35%,13%,1%,35%,13%,1%
North Carolina,Carteret,92,46,6,48%,28%,4%,48%,28%,4%
North Carolina,Chowan,49,17,1,29%,11%,1%,29%,11%,1%
North Carolina,Craven,76,31,1,42%,20%,1%,42%,20%,1%
North Carolina,Currituck,63,22,2,36%,14%,1%,36%,14%,1%
North Carolina,Dare,94,45,6,49%,27%,4%,49%,27%,4%
North Carolina,Gates,41,12,0,25%,8%,<1%,25%,8%,<1%
North Carolina,Hertford,46,11,0,28%,8%,<1%,28%,8%,<1%
North Carolina,Hyde,97,45,5,50%,27%,3%,50%,27%,3%
North Carolina,New Hanover,71,32,6,40%,20%,4%,40%,20%,4%
North Carolina,Onslow,74,35,5,41%,22%,3%,41%,22%,3%
North Carolina,Pamlico,73,31,2,40%,20%,1%,40%,20%,1%
North Carolina,Pasquotank,55,19,1,32%,13%,1%,32%,13%,1%
North Carolina,Pender,76,35,6,42%,22%,4%,42%,22%,4%
North Carolina,Perquimans,52,18,1,31%,12%,1%,31%,12%,1%
North Carolina,Tyrrell,64,26,2,36%,17%,1%,36%,17%,1%
North Carolina,Washington,58,19,1,34%,13%,1%,34%,13%,1%
Rhode Island,,32,11,2,20%,8%,1%,20%,8%,1%
Rhode Island,Bristol,21,8,2,14%,6%,1%,14%,6%,1%
Rhode Island,Kent,23,8,1,15%,6%,1%,15%,6%,1%
Rhode Island,Newport,25,10,2,16%,7%,1%,16%,7%,1%
Rhode Island,Providence,25,9,1,16%,6%,1%,16%,6%,1%
Rhode Island,Washington/South,28,9,2,18%,6%,1%,18%,6%,1%
South Carolina,,118,48,12,57%,29%,8%,57%,29%,8%
South Carolina,Beaufort,67,22,5,38%,14%,3%,38%,14%,3%
South Carolina,Charleston,80,33,7,43%,21%,5%,43%,21%,5%
South Carolina,Colleton,71,26,6,40%,17%,4%,40%,17%,4%
South Carolina,Georgetown,64,27,6,36%,17%,4%,36%,17%,4%
South Carolina,Horry,69,32,6,39%,20%,4%,39%,20%,4%
South Carolina,Jasper,69,21,4,39%,14%,3%,39%,14%,3%
Texas,,133,64,24,61%,36%,16%,61%,36%,16%
Texas,Aransas,30,16,7,19%,11%,5%,19%,11%,5%
Texas,Brazoria,51,25,7,30%,16%,5%,30%,16%,5%
Texas,Calhoun,41,20,7,25%,13%,5%,25%,13%,5%
Texas,Cameron,39,20,7,24%,13%,5%,24%,13%,5%
Texas,Chambers,51,24,7,30%,16%,5%,30%,16%,5%
Texas,Galveston,58,29,8,34%,19%,6%,34%,19%,6%
Texas,Harris,49,24,6,29%,16%,4%,29%,16%,4%
Texas,Jefferson,49,25,6,29%,16%,4%,29%,16%,4%
Texas,Kenedy,39,21,10,24%,14%,7%,24%,14%,7%
Texas,Kleberg,36,19,8,23%,13%,6%,23%,13%,6%
Texas,Matagorda,54,27,11,32%,17%,8%,32%,17%,8%
Texas,Nueces,39,21,9,24%,14%,6%,24%,14%,6%
Texas,Refugio,34,14,6,21%,9%,4%,21%,9%,4%
Texas,San Patricio,34,17,7,21%,11%,5%,21%,11%,5%
Texas,Willacy,35,19,8,22%,13%,6%,22%,13%,6%
Virginia,,86,31,2,46%,20%,1%,46%,20%,1%
Virginia,Accomack,44,13,0,27%,9%,<1%,27%,9%,<1%
Virginia,Gloucester,34,7,0,21%,5%,<1%,21%,5%,<1%
Virginia,Hampton,44,12,0,27%,8%,<1%,27%,8%,<1%
Virginia,Lancaster,31,5,0,20%,3%,<1%,20%,3%,<1%
Virginia,Mathews,34,7,0,21%,5%,<1%,21%,5%,<1%
Virginia,Middlesex,33,5,0,21%,3%,<1%,21%,3%,<1%
Virginia,Newport News,35,8,0,22%,6%,<1%,22%,6%,<1%
Virginia,Norfolk,42,12,0,26%,8%,<1%,26%,8%,<1%
Virginia,Northampton,44,13,0,27%,9%,<1%,27%,9%,<1%
Virginia,Northumberland,30,5,0,19%,3%,<1%,19%,3%,<1%
Virginia,Poquoson,38,9,0,24%,6%,<1%,24%,6%,<1%
Virginia,Portsmouth,38,10,0,24%,7%,<1%,24%,7%,<1%
Virginia,Suffolk,41,11,0,25%,8%,<1%,25%,8%,<1%
Virginia,Virginia Beach,50,18,0,30%,12%,<1%,30%,12%,<1%
Virginia,York,40,9,0,25%,6%,<1%,25%,6%,<1%
Canada,,100,48,2,51%,29%,1%,51%,29%,1%
New Brunswick,,57,11,1,33%,8%,1%,33%,8%,1%
Newfoundland and Labrador,,43,24,1,26%,16%,1%,26%,16%,1%
Nova Scotia,,77,44,1,42%,27%,1%,42%,27%,1%
Prince Edward Island,,14,9,0,9%,6%,<1%,9%,6%,<1%
Mexico,,204,83,29,76%,44%,19%,76%,44%,19%
Campeche,,89,33,7,47%,21%,5%,47%,21%,5%
Quintana Roo,,139,57,23,63%,33%,15%,63%,33%,15%
Tabasco,,40,8,0,25%,6%,<1%,25%,6%,<1%
Tamaulipas,,89,43,14,47%,26%,9%,47%,26%,9%
Veracruz,,83,32,4,44%,20%,3%,44%,20%,3%
Yucatan,,107,43,18,53%,26%,12%,53%,26%,12%
Anguilla,,61,28,12,35%,18%,8%,35%,18%,8%
Antigua and Barbuda,,46,23,10,28%,15%,7%,28%,15%,7%
Aruba,,15,7,0,10%,5%,<1%,10%,5%,<1%
"Bahamas, The",,237,106,50,81%,53%,30%,81%,53%,30%
Barbados,,47,9,2,28%,6%,1%,28%,6%,1%
Belize,,76,30,9,42%,19%,6%,42%,19%,6%
Bermuda,,71,42,17,40%,26%,11%,40%,26%,11%
Bonaire,,11,5,0,8%,3%,<1%,8%,3%,<1%
Cabo Verde,,25,4,0,16%,3%,<1%,16%,3%,<1%
Cayman Islands,,71,37,11,40%,23%,8%,40%,23%,8%
Costa Rica,,8,3,1,6%,2%,1%,6%,2%,1%
Cuba,,204,102,41,76%,51%,25%,76%,51%,25%
Curacao,,13,6,0,9%,4%,<1%,9%,4%,<1%
Dominica,,57,21,10,33%,14%,7%,33%,14%,7%
Dominican Republic,,123,61,26,58%,35%,17%,58%,35%,17%
Grenada,,46,10,1,28%,7%,1%,28%,7%,1%
Guadeloupe,,59,28,10,34%,18%,7%,34%,18%,7%
Guatemala,,68,23,4,38%,15%,3%,38%,15%,3%
Haiti,,82,42,14,44%,26%,9%,44%,26%,9%
Honduras,,146,46,16,64%,28%,11%,64%,28%,11%
Jamaica,,88,36,12,46%,23%,8%,46%,23%,8%
Martinique,,59,17,6,34%,11%,4%,34%,11%,4%
Montserrat,,43,22,8,26%,14%,6%,26%,14%,6%
Nicaragua,,62,25,11,36%,16%,8%,36%,16%,8%
Panama,,2,1,0,1%,1%,<1%,1%,1%,<1%
Puerto Rico,,73,38,14,40%,24%,9%,40%,24%,9%
Saba,,39,23,9,24%,15%,6%,24%,15%,6%
Saint Kitts and Nevis,,59,32,13,34%,20%,9%,34%,20%,9%
Saint Lucia,,73,15,5,40%,10%,3%,40%,10%,3%
Saint Martin,,43,23,11,26%,15%,8%,26%,15%,8%
Saint Vincent and the Grenadines,,74,13,2,41%,9%,1%,41%,9%,1%
Sint Eustatius,,40,23,11,25%,15%,8%,25%,15%,8%
Sint Maarten,,43,23,11,26%,15%,8%,26%,15%,8%
Trinidad and Tobago,,11,3,0,8%,2%,<1%,8%,2%,<1%
Turks and Caicos,,73,32,16,40%,20%,11%,40%,20%,11%
UK Virgin Islands,,69,35,15,39%,22%,10%,39%,22%,10%
US Virgin Islands,,57,30,12,33%,19%,8%,33%,19%,8%
